nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
6885.975665,3.4e-05,0.0097673,1.9185934537096425e-24,326.625476,11,11,5,5, A1,1,2,0,2,4, A2,0,0,0,1,5
6886.282379,3.3e-05,0.00094089,4.895886318152147e-26,586.243531,39,45,6,7, B2,1,2,0,3,4, B1,0,0,0,0,7
6886.398699,3.1e-05,0.0052314,2.554393443107063e-24,325.347904,27,33,4,5, B2,1,2,0,3,2, B1,0,0,0,0,5
6886.399084,4.9e-05,0.0067402,1.709836834374932e-26,888.598561,39,39,6,6, B1,1,0,1,1,5, B2,0,0,0,5,2
6886.744693,0.000165,0.01944,6.135625654359937e-29,1474.980198,17,19,8,9, A1,1,2,0,6,2, A2,0,0,0,5,5
6886.834561,6.2e-05,0.0029539,1.7554513032591466e-29,1411.64175,17,17,8,8, A2,0,0,2,1,7, A1,0,0,0,6,2
6886.923924,6e-05,7.2126e-05,3.0212741184183752e-30,1216.189681,17,15,8,7, A2,1,0,1,2,7, A1,0,0,0,6,2
6886.976527,8.7e-05,0.00021477,5.1963722651916865e-28,920.168025,51,57,8,9, B2,0,4,0,5,4, B1,0,0,0,0,9
6887.080831,8.3e-05,0.0050172,1.945401358642945e-27,1114.549359,57,63,9,10, B1,1,2,0,2,7, B2,0,0,0,1,10
6887.277905,3.1e-05,0.040262,7.158932403111034e-24,446.510665,33,33,5,5, B2,1,2,0,3,2, B1,0,0,0,2,3
6887.803038,9.6e-05,0.012242,8.074624617220094e-27,927.743868,15,15,7,7, A2,1,0,1,0,7, A1,0,0,0,4,4
6887.86386,4.9e-05,1.8666e-05,1.143877851602943e-29,1045.057796,45,39,7,6, B2,1,0,1,2,6, B1,0,0,0,6,1
6888.109368,4.1e-05,0.016747,3.8853220024103285e-24,326.625476,13,11,6,5, A1,1,2,0,0,6, A2,0,0,0,1,5
6888.647898,0.000125,2.2469e-05,2.031388081309475e-29,1006.115721,45,51,7,8, B1,0,4,0,6,1, B2,0,0,0,3,6
6888.907695,7e-05,4.8984e-05,1.032586978742003e-30,1394.814078,51,45,8,7, B1,2,0,0,4,5, B2,0,0,0,7,0
6889.055564,5.4e-05,0.0749,2.2402576633396743e-29,1731.896456,21,21,3,3, B2,0,3,1,2,2, B1,0,1,0,0,3
6889.35998,6.8e-05,0.036226,5.110656456382095e-28,1446.127886,57,63,9,10, B1,0,0,2,0,9, B2,0,0,0,3,8
6889.424215,7e-05,0.00018219,1.3214706367062392e-26,552.911386,39,39,6,6, B2,0,4,0,5,2, B1,0,0,0,2,5
6889.632643,9.9e-05,3.7873e-07,1.383230487195132e-30,742.072987,13,11,6,5, A1,2,0,0,0,6, A2,0,0,0,5,1
6890.452717,5e-05,1.5929,2.6359695179964737e-24,931.236948,39,45,6,7, B2,2,0,0,3,4, B1,0,0,0,4,3
6890.570233,5.6e-05,6.9647e-05,6.45514012190143e-28,742.076208,33,33,5,5, B1,2,0,0,2,3, B2,0,0,0,5,0
6890.946127,5.9e-05,0.59177,2.3796744746295324e-24,842.356519,39,45,6,7, B1,2,0,0,2,5, B2,0,0,0,3,4
6890.949437,4.3e-05,0.017725,1.2484844842342887e-23,325.347904,39,33,6,5, B2,1,2,0,1,6, B1,0,0,0,0,5
6891.186472,8e-05,1.0338,6.180543242886693e-22,136.163928,5,5,2,2, A2,0,2,1,2,1, A1,0,0,0,2,0
6891.190278,0.000129,10.882,3.2527814839793094e-29,2327.912599,81,87,13,14, B2,1,0,1,2,12, B1,0,0,0,2,13
6891.292191,6.1e-05,0.037558,3.4759627000600937e-29,1718.718416,57,63,9,10, B1,0,0,2,2,7, B2,0,0,0,5,6
6891.293927,0.000136,10.984,1.0947194785906993e-29,2327.882531,27,29,13,14, A1,1,0,1,1,12, A2,0,0,0,1,13
6891.344995,3.6e-05,0.022752,8.638859598876287e-27,982.911525,15,17,7,8, A2,0,2,1,4,3, A1,0,0,0,2,6
6891.690566,4.6e-05,1.7044,4.3690536679192445e-28,1772.413219,27,21,4,3, B1,0,3,1,1,3, B2,0,1,0,1,2
6891.73889,4.8e-05,5.7206,8.348712183357775e-29,2144.045742,63,69,10,11, B2,1,0,1,6,4, B1,0,0,0,6,5
6891.78768,4.4e-05,0.0072087,1.2849871374626065e-23,136.761674,15,21,2,3, B2,0,2,1,2,0, B1,0,0,0,0,3
6891.865475,5.1e-05,1.273,3.5867978261522486e-25,1122.708302,45,51,7,8, B2,2,0,0,3,4, B1,0,0,0,4,5
6892.041568,6.8e-05,0.33076,2.6470809898089732e-24,756.724702,33,39,5,6, B2,1,0,1,2,4, B1,0,0,0,4,3
6892.291145,3.1e-05,0.00765,4.51912405494492e-25,446.6966,11,13,5,6, A2,0,2,1,2,3, A1,0,0,0,0,6
